tconst,ordering,nconst,category,characters,averageRating,numVotes,directors,writers,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres,decennie_startYear,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,region,language,isOriginalTitle
tt0240122,14,nm0765026,writer,unknown,7.5,452,nm0415245,"nm0407794,nm0316044,nm0765026",movie,Tosca,0.0,2001.0,126.0,"Drama,Musical",2000.0,Victorien Sardou,1831.0,1908.0,writer,"tt0049864,tt0002101,tt0005930,tt0034274",Tosca de Giacomo Puccini,FR,fr,0
tt0240122,4,nm1028488,actor,Spoletta,7.5,452,nm0415245,"nm0407794,nm0316044,nm0765026",movie,Tosca,0.0,2001.0,126.0,"Drama,Musical",2000.0,David Cangelosi,,,actor,"tt0240122,tt1019690,tt0165042,tt0313015",Tosca de Giacomo Puccini,FR,fr,0
tt0240122,5,nm1028701,actor,Sciarrone,7.5,452,nm0415245,"nm0407794,nm0316044,nm0765026",movie,Tosca,0.0,2001.0,126.0,"Drama,Musical",2000.0,Sorin Coliban,,,actor,"tt0240122,tt5358858,tt19177490",Tosca de Giacomo Puccini,FR,fr,0
tt0240122,6,nm0279980,actor,Sagrestano,7.5,452,nm0415245,"nm0407794,nm0316044,nm0765026",movie,Tosca,0.0,2001.0,126.0,"Drama,Musical",2000.0,Enrico Fissore,,,actor,"tt0240122,tt2149241,tt2255284,tt0335704",Tosca de Giacomo Puccini,FR,fr,0
tt0240122,7,nm1031506,actor,Cesare Angelotti,7.5,452,nm0415245,"nm0407794,nm0316044,nm0765026",movie,Tosca,0.0,2001.0,126.0,"Drama,Musical",2000.0,Maurizio Muraro,,,actor,"tt0240122,tt1019690,tt2254056,tt2729178",Tosca de Giacomo Puccini,FR,fr,0
tt0240122,9,nm1046687,actor,Un pastore,7.5,452,nm0415245,"nm0407794,nm0316044,nm0765026",movie,Tosca,0.0,2001.0,126.0,"Drama,Musical",2000.0,James Savage-Hanford,,,actor,tt0240122,Tosca de Giacomo Puccini,FR,fr,0
tt0240122,10,nm1196200,actor,Tax judge,7.5,452,nm0415245,"nm0407794,nm0316044,nm0765026",movie,Tosca,0.0,2001.0,126.0,"Drama,Musical",2000.0,Karl-Heinz Rogosch,,,actor,tt0240122,Tosca de Giacomo Puccini,FR,fr,0
tt0240510,12,nm0556571,writer,unknown,6.5,35569,nm0001408,"nm0556571,nm0771512,nm0024925",movie,The Four Feathers,0.0,2002.0,132.0,"Action,Adventure,Drama",2000.0,A.E.W. Mason,1865.0,1948.0,writer,"tt0240510,tt0020890,tt0031334,tt0012189",Frères du désert,FR,fr,0
tt0240510,15,nm0271162,producer,unknown,6.5,35569,nm0001408,"nm0556571,nm0771512,nm0024925",movie,The Four Feathers,0.0,2002.0,132.0,"Action,Adventure,Drama",2000.0,Paul Feldsher,,,producer,"tt0240510,tt0120520,tt0145734,tt0192071",Frères du désert,FR,fr,0
tt0240510,6,nm0130736,actor,Gustave,6.5,35569,nm0001408,"nm0556571,nm0771512,nm0024925",movie,The Four Feathers,0.0,2002.0,132.0,"Action,Adventure,Drama",2000.0,Daniel Caltagirone,1972.0,,actor,"tt0325703,tt0253474,tt0163978,tt0240510",Frères du désert,FR,fr,0
tt0240510,4,nm1320601,actor,Sudanese Storyteller,6.5,35569,nm0001408,"nm0556571,nm0771512,nm0024925",movie,The Four Feathers,0.0,2002.0,132.0,"Action,Adventure,Drama",2000.0,Mohamed Bouich,,,actor,tt0240510,Frères du désert,FR,fr,0
tt0240510,5,nm1317758,actor,Dervish Ansar,6.5,35569,nm0001408,"nm0556571,nm0771512,nm0024925",movie,The Four Feathers,0.0,2002.0,132.0,"Action,Adventure,Drama",2000.0,Campbell Brown,,,actor,tt0240510,Frères du désert,FR,fr,0
tt0240510,8,nm1320646,actor,Colonel Other Regiment,6.5,35569,nm0001408,"nm0556571,nm0771512,nm0024925",movie,The Four Feathers,0.0,2002.0,132.0,"Action,Adventure,Drama",2000.0,Andy Coumbe,,,actor,tt0240510,Frères du désert,FR,fr,0
tt0240510,16,nm10379900,producer,unknown,6.5,35569,nm0001408,"nm0556571,nm0771512,nm0024925",movie,The Four Feathers,0.0,2002.0,132.0,"Action,Adventure,Drama",2000.0,Robert D. Jaffe,,,producer,tt0240510,Frères du désert,FR,fr,0
tt0214529,13,nm0077220,writer,unknown,4.5,5212,nm0758933,"nm0077220,nm0758933,nm0860019,nm0867374",movie,Belphégor - Le fantôme du Louvre,0.0,2001.0,97.0,"Fantasy,Horror,Mystery",2000.0,Arthur Bernède,1871.0,1937.0,writer,"tt0057207,tt0019646,tt0022141,tt0006886",Belphégor : Le Fantôme du Louvre,FR,fr,0
tt0214529,16,nm0867374,writer,unknown,4.5,5212,nm0758933,"nm0077220,nm0758933,nm0860019,nm0867374",movie,Belphégor - Le fantôme du Louvre,0.0,2001.0,97.0,"Fantasy,Horror,Mystery",2000.0,Jérôme Tonnerre,,,writer,"tt0088357,tt0105682,tt0363532,tt0310778",Belphégor : Le Fantôme du Louvre,FR,fr,0
tt0214529,11,nm0551791,actor,Félix,4.5,5212,nm0758933,"nm0077220,nm0758933,nm0860019,nm0867374",movie,Belphégor - Le fantôme du Louvre,0.0,2001.0,97.0,"Fantasy,Horror,Mystery",2000.0,Jacques Martial,1955.0,,actor,"tt0096658,tt0098396,tt0085031,tt0099283",Belphégor : Le Fantôme du Louvre,FR,fr,0
tt0214529,8,nm0008506,actor,Simonnet,4.5,5212,nm0758933,"nm0077220,nm0758933,nm0860019,nm0867374",movie,Belphégor - Le fantôme du Louvre,0.0,2001.0,97.0,"Fantasy,Horror,Mystery",2000.0,Lionel Abelanski,1964.0,,actor,"tt0783233,tt2870756,tt0170705,tt2102355",Belphégor : Le Fantôme du Louvre,FR,fr,0
tt0280590,12,nm0445502,writer,unknown,5.8,153239,nm0109359,"nm0445502,nm0728307,nm0379056",movie,Mr. Deeds,0.0,2002.0,96.0,"Comedy,Romance",2000.0,Clarence Budington Kelland,1881.0,1964.0,writer,"tt0280590,tt0027996,tt0035293,tt0028321",Les aventures de Mister Deeds,FR,fr,0
tt0377084,12,nm0516810,writer,unknown,7.0,12759,nm0001097,"nm0516810,nm0001097",movie,Ladies in Lavender,0.0,2004.0,104.0,"Drama,Music,Romance",2000.0,William J. Locke,1863.0,1930.0,writer,"tt0009652,tt0015700,tt0377084,tt0005770",Les dames de Cornouailles,FR,fr,0
tt0377084,5,nm0376638,actor,Luke Pendered,7.0,12759,nm0001097,"nm0516810,nm0001097",movie,Ladies in Lavender,0.0,2004.0,104.0,"Drama,Music,Romance",2000.0,Gregor Henderson-Begg,1976.0,,actor,"tt0280707,tt0377084,tt0106379,tt0118363",Les dames de Cornouailles,FR,fr,0
tt0377084,9,nm1632142,actor,Barry,7.0,12759,nm0001097,"nm0516810,nm0001097",movie,Ladies in Lavender,0.0,2004.0,104.0,"Drama,Music,Romance",2000.0,Richard Pears,,,actor,"tt0377084,tt0408381",Les dames de Cornouailles,FR,fr,0
tt0013274,3,nm13054604,producer,unknown,6.6,70,"nm0412842,nm0895048",,movie,Istoriya grazhdanskoy voyny,0.0,2021.0,94.0,Documentary,2020.0,Konstantin Grinberg,,,producer,"tt0010180,tt0013274",Histoire de la guerre civile,FR,fr,0
tt0434215,14,nm0641301,writer,unknown,6.0,8541,nm1555287,"nm0742797,nm0465199,nm0641301",movie,Flicka,0.0,2006.0,95.0,"Adventure,Drama,Family",2000.0,Mary O'Hara,1885.0,1980.0,writer,"tt0013515,tt0014721,tt0017904,tt0036182",Flicka,FR,fr,0
tt0313196,13,nm0211055,writer,unknown,6.7,14455,nm0140196,"nm0508200,nm0211055",movie,El crimen del padre Amaro,0.0,2002.0,118.0,"Drama,Romance",2000.0,Eça de Queirós,1845.0,1900.0,writer,"tt0826110,tt0313196,tt0046844,tt6086896",Le crime du père Amaro,FR,fr,0
tt0313196,6,nm0350884,actor,Obispo,6.7,14455,nm0140196,"nm0508200,nm0211055",movie,El crimen del padre Amaro,0.0,2002.0,118.0,"Drama,Romance",2000.0,Ernesto Gómez Cruz,1933.0,2024.0,actor,"tt0091261,tt0112619,tt0313196,tt0077287",Le crime du père Amaro,FR,fr,0
tt0313196,7,nm0578247,actor,Martín,6.7,14455,nm0140196,"nm0508200,nm0211055",movie,El crimen del padre Amaro,0.0,2002.0,118.0,"Drama,Romance",2000.0,Gastón Melo,1936.0,,actor,"tt0313196,tt0414736,tt1796084,tt0068382",Le crime du père Amaro,FR,fr,0
tt0313196,5,nm0400111,actress,Dionisia,6.7,14455,nm0140196,"nm0508200,nm0211055",movie,El crimen del padre Amaro,0.0,2002.0,118.0,"Drama,Romance",2000.0,Luisa Huertas,1951.0,,actress,"tt0120746,tt0313196,tt0115571,tt0133965",Le crime du père Amaro,FR,fr,0
tt0238893,12,nm0090504,writer,unknown,5.1,59,nm0405683,"nm0090504,nm0405683",movie,La chambre obscure,0.0,2000.0,107.0,Drama,2000.0,Giovanni Boccaccio,1313.0,1375.0,writer,"tt5666304,tt0068832,tt0045675,tt0065622",La chambre obscure,FR,fr,0
tt0238893,8,nm0047623,actor,Maître Gérard de Narbonne,5.1,59,nm0405683,"nm0090504,nm0405683",movie,La chambre obscure,0.0,2000.0,107.0,Drama,2000.0,Pierre Baillot,,,actor,"tt0107259,tt0167644,tt0066192,tt0107260",La chambre obscure,FR,fr,0
tt0238893,6,nm0703364,actor,Ambrogio,5.1,59,nm0405683,"nm0090504,nm0405683",movie,La chambre obscure,0.0,2000.0,107.0,Drama,2000.0,Hugues Quester,1948.0,,actor,"tt0108394,tt0097292,tt0097106,tt0084423",La chambre obscure,FR,fr,0
tt0238893,14,nm0089837,producer,unknown,5.1,59,nm0405683,"nm0090504,nm0405683",movie,La chambre obscure,0.0,2000.0,107.0,Drama,2000.0,Raymond Blumenthal,1945.0,,producer,"tt0098487,tt0122693,tt0238893,tt0120760",La chambre obscure,FR,fr,0
tt0238893,1,nm0239764,actress,Aliénor,5.1,59,nm0405683,"nm0090504,nm0405683",movie,La chambre obscure,0.0,2000.0,107.0,Drama,2000.0,Caroline Ducey,1976.0,,actress,"tt0194314,tt0111497,tt4054596,tt0127553",La chambre obscure,FR,fr,0
